"course_number","course_name","course_description"
"EECS 410","Patent Fundamentals for Engineers","This course covers the fundamentals of patents for engineers. The first part of the course focuses on the rules and codes that govern patent prosecution, and the second part focuses on claim drafting and amendment writing. Other topics covered include litigation, ethics and licensing."
"EECS 411","Microwave Circuits I","Transmission-line theory, microstrip and coplanar lines, S-parameters, signal-flow graphs, matching networks, directional couplers, low-pass and band-pass filters, diode detectors. Design, fabrication and measurements (1-10GHz) of microwave-integrated circuits using CAD tools and network analyzers. Projects are overseen/graded by faculty and may also involve mentoring by representatives from external organizations."
"EECS 413","Monolithic Amplifier Circuits","Analysis and design of BJT and MOS multi-transistor amplifiers. Feedback theory and application to feedback amplifiers. Stability considerations, pole-zero cancellation, root locus techniques in feedback amplifiers. Detailed analysis and design of BJT and MOS integrated operational amplifiers. Lectures and laboratory. Projects are overseen/graded by faculty and may also involve mentoring by representatives from external organizations."
"EECS 414","Introduction to MEMS","Micro electro mechanical systems (MEMS), devices and technologies. Micro-machining and microfabrication techniques, including planar thin-film processing, silicon etching, wafer bonding, photolithography, deposition and etching. Transduction mechanisms and modeling in different energy domains. Analysis of micromachined capacitive, piezoresistive and thermal sensors/actuators and applications. Computer-aided design for MEMS layout, fabrication and analysis."
"EECS 415","Introduction to Plasmas and Fusion","Single particle orbits in electric and magnetic fields, moments of Boltzmann equation and introduction to fluid theory. Wave phenomena in plasmas. Diffusion of plasma in electric and magnetic fields. Analysis of laboratory plasmas and magnetic confinement devices and applications, including fusion and plasma materials semiconductor processing. Introduction to plasma kinetic theory."
"EECS 417","Electrical Biophysics","Electrical biophysics of nerve and muscle; electrical conduction in excitable tissue; quantitative models for nerve and muscle, including the Hodgkin Huxley equations; biopotential mapping, cardiac electrophysiology, and functional electrical stimulation; group projects. Lecture and recitation."
"EECS 418","Power Electronics","AC-DC, DC-DC switch-mode power converter topologies. Power converter topologies. Power Semiconductor devices, inductors, capacitors. Loss mechanisms, thermal analysis. Drive, snubber circuits. Laboratory experience with power electronic circuits. Projects are overseen/graded by faculty and may also involve mentoring by representatives from external organizations."
"EECS 419","Electric Machinery and Drives","Generation of forces and torques in electromechanical devices. Power electronic drives, motion control. DC machines. AC machines, surface mount permanent magnet machines, induction machines. Applications examined include electric propulsion drives for electric/hybrid vehicles, generators for wind turbines, and high-speed motor/alternators for flywheel energy storage systems. Laboratory experience with electric drives."
"EECS 421","Properties of Transistors","In depth understanding of the device physics and working principle of some basic IC components: metal-semiconductor junctions, P-N junctions, metal-oxide-semiconductor junctions, MOSFETs and BJTs."
"EECS 423","Micro/Nano Device Fabrication and Characterization","Basic principles and hands-on experience with semiconductor micro/nano-fabrication technologies. Students will perform computer simulations of fabrication steps, and will practice some of the key processing steps used in fabricating different devices in modern IC manufacturing. Students will test and/or analyze electrical properties of various devices and compare results to theory."
"EECS 425","Integrated Microsystems Laboratory","Development of a complete integrated microsystem, from functional definition to final test. MEMS-based transducer design and electrical, mechanical and thermal limits. Design of MOS interface circuits. MEMS and MOS chip fabrication. Mask making, pattern transfer, oxidation, ion implantation and metallization. Packaging and testing challenges. Students work in interdisciplinary teams. Projects are overseen/graded by faculty and may also involve mentoring by representatives from external organizations."
"EECS 427","VLSI Design I","Design techniques for full-custom VLSI circuits. Design rule checking, logic and circuit simulation. CMOS circuit delay and power analysis. High performance and low power VLSI systems. CMOS logic circuit families, adders, multipliers, memory arrays, sequential circuits, and interconnects. Clock and power distribution. Major design project to implement a RISC processor. Projects are overseen/graded by faculty and may also involve mentoring by representatives from external organizations."
"EECS 428","Introduction to Quantum Nanotechnology","This course introduces students to the emerging new field of quantum base nanotechnology. The course includes a range of topics such as the quantum vibrator, resonant tunneling, quantum circuits, a quantum flip flop, quantum information, quantum vacuum, and the role of quantum behavior in nano-devices and materials."
"EECS 429","Semiconductor Optoelectronic Devices","Materials for optoelectronics, optical processes in semiconductors, absorption and radiation, transition rates and carrier lifetime. Principles of LEDs, lasers, photodetectors, modulators and solar cells. Optoelectronic integrated circuits. Designs, demonstrations and projects related to optoelectronic device phenomena."
"EECS 430","Wireless Link Design","Fundamentals of electromagnetic radiation and propagation (near earth, troposphere, ionosphere, indoor and urban); antenna parameters; practical antennas; link analysis; system noise; fading and multipath interference; applications. Course includes informative labs and a team project in practical wireless system design. Projects are overseen/graded by faculty and may also involve mentoring by representatives from external organizations."
"EECS 434","Principles of Photonics","Introduction to photonics, opto-electronics, lasers and fiber-optics. Topics include mirrors, interferometers, modulators and propagation in waveguides and fibers. The second half treats photons in semiconductors, including semi-conductor lasers, detectors and noise effects. System applications include fiber lightwave systems, ultra-high-peak power lasers and display technologies. Projects are overseen/graded by faculty and may also involve mentoring by representatives from external organizations."
"EECS 435","Fourier Optics","Basic physical optics treated from the viewpoint of Fourier analysis. Fourier-transform relations in optical systems. Theory of image formation and Fourier transformation by lenses. Frequency response of diffraction-limited and aberrated imaging systems. Coherent and incoherent light. Comparison of imagery with coherent and with incoherent light. Resolution limitations. Optical information processing, including spatial matched filtering."
"EECS 438","Advanced Lasers and Optics Laboratory","Construction and design of lasers; gaussian beams; nonlinear optics; fiber optics; detectors; dispersion; Fourier optics; spectroscopy. Project requires the design and set-up of a practical optical system."
"EECS 440","Extended Reality for Social Impact","Design, development, and application of virtual and augmented reality software for social impact. Topics include: virtual reality, augmented reality, game engines, ethics / accessibility, interaction design patterns, agile project management, stakeholder outreach, XR history / culture, and portfolio construction. Student teams develop and exhibit socially impactful new VR / AR applications."
"EECS 441","Mobile App Development for Entrepreneurs","Best practices in the software engineering of mobile applications and best practices of software entrepreneurs in the design, production and marketing of mobile apps. Students will engage in the hands-on practice of entrepreneurship by actually inventing, building and marketing their own mobile apps."
"EECS 442","Computer Vision","An introduction to 2D and 3D computer vision. Topics include: cameras models, the geometry of multiple views; shape reconstruction methods from visual cues; low-level image processing techniques such as feature detection; high-level vision problems such as object recognition and scene understanding."
"EECS 443","Senior Thesis","Students develop and carry out a research plan in collaboration with a sponsoring faculty member. Students present a research proposal to be approved by both the faculty member and the chief program advisor or designate. Students submit and present a thesis to be evaluated by the sponsoring faculty member and second reader. Eligibility is limited to students who have a concentration GPA of 3.5 or better."
"EECS 444","Analysis of Societal Networks","In the modern world we depend on the efficiency of a myriad of societal networks to transact many activities. This course analyzes them (how they are connected, how they form, and how processes and transactions occur on them) using mathematical tools from graph theory, linear algebra, probability and game theory."
"EECS 445","Introduction to Machine Learning","Theory and implementation of state-of-the-art machine learning algorithms for large-scale real-world applications. Topics include supervised learning (regression, classification, kernel methods, neural networks, and regularization) and unsupervised learning (clustering, density estimation, and dimensionality reduction). For each topic, mathematical principles, key algorithmic ideas, and implementation will be highlighted."
"EECS 448","Applied Machine Learning for Modeling Human Behavior","Machine learning, with a focus on human behavior, across multiple modalities including speech and text. Teams complete projects based primarily on their individual interests centered on modeling an aspect of human behavior. Prior experience with speech/language or other data modeling is not needed."
"EECS 449","Conversational Artificial Intelligence","The science and art of creating conversational AI spans multiple areas in computer science. Students will learn about and leverage advances in these areas to create conversational virtual assistants spanning natural language processing, dialogue management, response generation, and other applications."
"EECS 452","Digital Signal Processing Design Laboratory","Architecture features of single-chip DSP processors are introduced in lecture. Laboratory exercises using two different state-of-the-art fixed-point processors include sampling, A/D and D/A conversion, digital waveform generators, real-time FIR and II filter implementation. The central component of this course is a 12-week team project in real-time DSP Design (including software and hardware development). Projects are overseen/graded by faculty and may also involve mentoring by representatives from external organizations."
"EECS 453","Principles of Machine Learning","Covers fundamental principles of machine learning, including unsupervised learning (e.g., clustering, mixture models, dimension reduction), supervised learning (e.g., regression, classification, neural networks & deep learning), and reinforcement learning. For each topic, mathematical principles, key algorithmic ideas, and basic theoretical insights will be highlighted."
"EECS 455","Wireless Communications Systems","Digital communication signals and systems; fundamental limits on reliable communications, energy and bandwidth efficiency trade-offs; optimum receiver principles, modulation techniques including phase shift keying, quadrature modulation and OFDM; block and convolutional coding and decoding; applications to wireless communication systems; optional topics include synchronization, quantization and lossless compression of signals, fundamental limits of compression, role of entropy."
"EECS 456","Internet Foundations","Fundamentals of the internet are introduced. Four layers of the internet are described, including the application, transport, network and link layers. TCP and UDP protocols in the transport layer are studied, along with IP in the network layer. Routers are described that perform the IP functions. Ethernet, WiFi and cellular technologies are covered for the link layer."
"EECS 458","Biomedical Instrumentation and Design","Students design and construct functioning biomedical instruments. Hardware includes instrumentation amplifiers and active filters constructed using operational amplifiers. Signal acquisition, processing analysis and display are performed. Project modules include measurement or respiratory volume and flow rates, biopotentials (electrocardiogram), and optical analysis of arterial blood oxygen saturation (pulse-oximetry)."
"EECS 460","Control Systems Analysis and Design","Basic techniques for analysis and design of controllers applicable in any industry (e.g. automotive, aerospace, computer, communication, chemical, bioengineering, power, etc.) are discussed. Both time- and frequency-domain methods are covered. Root locus, Nyquist and Bode plot-based techniques are outlined. Computer-based experiment and discussion sessions are included in the course."
"EECS 461","Embedded Control Systems","Basic interdisciplinary concepts needed to implement a microprocessor based control system. Sensors and actuators. Quadrature decoding. Pulse width modulation. DC motors. Force feedback algorithms for human computer interaction. Real time operating systems. Networking. Use of MATLAB to model hybrid dynamical systems. Autocode generation for rapid prototyping."
"EECS 463","Power Systems Design and Operation","Power systems overview; Fundamentals: phasors, complex power, three phases; transformer modeling; Transmission line modeling; Power flow analysis; Power system control; Protection; Economic operation and electricity markets; Impact of renewable generation on grid operation and control."
"EECS 464","Hands-on Robotics","A hands-on, project based introduction to the principles of robotics and robot design. Multiple team projects consisting of design and implementation of a robot. Theory: motors, kinematics & mechanisms, sensing/filtering, planning, pinhole cameras. Practice: servo control, project management; fabrication; software design for robotics. Significant after hours lab time investment."
"EECS 465","Introduction to Algorithmic Robotics","An introduction to the algorithms that form the foundation of robot planning, state estimation, and control. Topics include optimization, motion planning, representations of uncertainty, Kalman and particle filters, and point cloud processing. Assignments focus on programming a robot to perform tasks in simulation."
"EECS 467","Autonomous Robotics Design Experience","Software methods and implementation for robot perception, world mapping, and control, using physical robots. Topics include: sensors, sensor processing, control, motion planning, localization and mapping, and forward and inverse kinematics. Multiple team projects, culminating in a major design experience (MDE) project."
"EECS 470","Computer Architecture","Topics include out-of-order processors and speculation, memory hierarchies, branch prediction, virtual memory, cache design, multi-processors, and parallel processing including cache coherence and consistency. Emphasis on power and performance trade-offs. Groups design an advanced (e.g. out-of-order, multi-core, SMT) processor using an HDL."
"EECS 471","Applied Parallel Programming with GPUs","Parallel computing and application development for massively parallel processors such as GPUs. Focuses on forms of parallelism, programming models such as CUDA, mapping computations to parallel hardware, efficient data structures, and paradigms for efficient parallel algorithms. Students will gain hands-on experience in programming assignments and projects."
"EECS 473","Advanced Embedded Systems","Design of hardware and software for modern embedded systems. Real-time operating systems. Device drivers for general operating systems. PCB design including power integrity and electromagnetic interference. Radio frequency and wireless communication. Low-power design. DC/DC converter design for PCBs. Rapid prototyping of embedded systems. Groups will design a complete embedded system."
"EECS 474","Algorithms for Data Science","Fundamental techniques and mathematical methods for designing and analyzing algorithms used in data science and machine learning. Topics include randomized algorithms (sketching), streaming algorithms (frequent items), dimensionality reduction (Johnson-Lindenstrauss embeddings), matrix approximation (randomized singular value decomposition), optimization (stochastic gradient descent, Newton's method), and graph algorithms (spectral clustering)."
"EECS 475","Introduction to Cryptography","Covers fundamental concepts, algorithms, and protocols in cryptography. Topics: ancient ciphers, Shannon theory, symmetric encryption, public key encryption, hash functions, digital signatures, key distribution. Emphasizes attack models, precise definitions of security, reductions, and proof techniques."
"EECS 476","Data Mining","Fundamental concepts and methods in data mining, and practical skills for mining massive, real data on distributed frameworks (e.g., Hadoop). Topics include big data systems, frequent itemsets, similarity and cluster analysis, classification, dimensionality reduction, mining of networks, time series and data streams, and applications (e.g., social network analysis, web search)."
"EECS 477","Introduction to Algorithms","Fundamental techniques for designing efficient algorithms and basic mathematical methods for analyzing their performance. Paradigms for algorithm design: divide-and-conquer, greedy methods, graph search techniques, dynamic programming. Design of efficient data structures and analysis of the running time and space requirements of algorithms in the worst and average cases."
"EECS 478","Logic Circuit Synthesis and Optimization","Advanced design of logic circuits. Technology constraints. Theoretical foundations. Computer-aided design algorithms. Two-level and multilevel optimization of combinational circuits. Optimization of finite-state machines. High-level synthesis techniques: modeling, scheduling and binding. Verification and testing. Emerging technologies. Lab projects on CAD software development."
"EECS 479","Introduction to Quantum Computing","A practical approach towards exploring how each layer of the computing stack is impacted by quantum computing. Quantum logic design using classical oracles, phase kickback, and entanglement. Quantum algorithms including Deutsch-Jozsa, Grover's, and Shor's. Error correction schemes including Shor and Steane codes. Building fault-tolerant architectures. Several programming assignments."
"EECS 480","Social Computing Systems","Design and creation of computing systems that mediate, facilitate , or augment social interactions. Introduces social computing research, and relevant web-based tools for creating systems that allow multiple users to interact. A team project provides experience designing a system with multiple stake holders and constraints, and building a complex interactive multi-user system."
"EECS 481","Software Engineering","Pragmatic aspects of the production of software systems, dealing with structuring principles, design methodologies and informal analysis. Emphasis is given to development of large, complex software systems. A term project is usually required."
"EECS 482","Introduction to Operating Systems","Operating system design and implementation: multi-tasking; concurrency and synchronization; inter-process communication; deadlock; scheduling; resource allocation; memory and storage management; input-output; file systems; protection and security. Students write several substantial programs dealing with concurrency and synchronization in a multi-task environment, with file systems and with memory management."
"EECS 483","Compiler Construction","Introduction to compiler construction. Topics covered will include the following: lexical scanning, parsing (top-down and bottom-up), abstract syntax trees, semantic analysis, code generation and optimization. Students will build a working compiler for a high-level programming language."
"EECS 484","Database Management Systems","Concepts and methods for the design, creation, query and management of large enterprise databases. Functions and characteristics of the leading database management systems. Query languages such as SQL, forms, embedded SQL, and application development tools. Database design, integrity, normalization, access methods, query optimization, transaction management and concurrency control and recovery."
"EECS 485","Web Systems","Concepts surrounding web systems, applications, and internet scale distributed systems. Topics covered include client/server protocols, security, information retrieval and search engines, scalable data processing, and fault tolerant systems. The course has substantial projects involving development of web applications and web systems."
"EECS 486","Informational Retrieval and Web Search","Covers background and recent advances in information retrieval (IR): indexing, processing, querying, classifying data. Basic retrieval models, algorithms, and IR system implementations. Focuses on textual data, but also looks at images/videos, music/audio, and geospatial information. Web search, including Web crawling, link analysis, search engine development, social media, and crowdsourcing."
"EECS 487","Introduction to Natural Language Processing","Fundamental theories and practical methods in natural language processing (NLP). Topics include syntax and parsing, lexical semantics and compositional semantics, discourse analysis, as well as applications in information extraction, sentiment analysis, question answering, summarization, dialogue systems, machine translation, and text generation."
"EECS 489","Computer Networks","Protocols and architectures of computer networks with a specific focus on the Internet. Topics include socket programming, naming and addressing, video streaming and content distribution, flow and congestion control, routing, and cloud, datacenter, and software-defined networks. Students write several substantial programs implementing protocols at different layers of the network stack."
"EECS 490","Programming Languages","Programming languages are rich mathematical structures and powerful user interfaces. Student will learn about modern languages from the perspective of both language designers and users, building up from mathematical first principles, and covering human factors in language design, language prototyping, and techniques for reasoning about program behavior."
"EECS 491","Introduction to Distributed Systems","Design and implementation of scalable, performant, and reliable distributed systems. Covers abstractions for simplifying development of distributed systems, techniques used to implement these abstractions, and case studies on the use of these techniques in real-world systems. Includes topics such as replicated state machines, reasoning about time in distributed systems, replication, concurrency control, data consistency models, techniques for scaling, and multi-tenancy."
"EECS 492","Introduction to Artificial Intelligence","Introduction to the core concepts of AI, organized around building computational agents. Emphasizes the application of AI techniques. Topics include search, logic, knowledge representation, reasoning, planning, decision making under uncertainty, and machine learning."
"EECS 493","User Interface Development","Concepts and techniques for designing computer system user interfaces to be easy to learn and use, with an introduction to their implementation. Task analysis, design of functionality, display and interaction design, and usability evaluation. Interface programming using an object-oriented application framework. Fluency in a standard object-oriented programming language is assumed."
"EECS 494","Computer Game Design and Development","Design, development, and application of digital games. Topics include: game engines, design patterns, shaders and graphics programming, agile development methods, iterative game/experience design, project management and resource allocation, virtual reality, classic games, multidisciplinary relationships, product exhibition, and portfolio construction. Students work in teams to develop and exhibit new games."
"EECS 495","Accessible Computing","Team-based development of technology systems focused on disability, accessibility, or chronic illness. Students work closely with people with disabilities to develop technologies addressing a specific need. Covers design methods and problem-solving strategies; human factors; human-machine interfaces; community perspectives; social and ethical aspects; and accessible technology for disability or chronic illness."
"EECS 496","Major Design Experience Professionalism","Design principles for multidisciplinary team projects, team strategies, entrepreneurial skills, ethics, social and environmental awareness, and life long learning."
"EECS 497","Human-Centered Software and Design and Development","Team-based, user-centered design and development of complex software systems incorporating effective design strategies and project management methodologies. Topics include customer discovery, contextual inquiry, prototyping, process models, creative problem solving, inclusive thinking, team dynamics, social concerns, and testing strategies. Teams of 3-5 students complete projects based primarily on their individual interests."
"EECS 498","Special Topics","Topics of current interest selected by the faculty. Lecture, seminar or laboratory."
"EECS 499","Directed Study","Provides an opportunity for undergraduate students to work on substantial research problems in EECS or areas of special interest such as design problems. For each hour of credit, it is expected that the student will work an average of three or four hours per week and that the challenges will be comparable with other 400 level EECS classes. Oral presentation and/or written report due at end of term. Not open to graduate students."
"ECE 500","Tutorial Lecture Series in System Science","Students are introduced to the frontiers of System Science research. Sections 01, 02 and 03 are devoted, respectively, to Communications, Control, and Signal Processing. The tutorials are delivered by leaders of the respective research fields, invited from academia and industry. The presentations are self-contained and accessible to all graduate students in System Science."
"ECE 501","Probability and Random Processes","Introduction to probability and random processes. Topics include probability axioms, sigma algebras, random vectors, expectation, probability distributions and densities, Poisson and Wiener processes, stationary processes, autocorrelation, spectral density, effects of filtering, linear least-squares estimation and convergence of random sequences."
"ECE 502","Stochastic Processes","Correlations and spectra. Quadratic mean calculus, including stochastic integrals and representations, wide-sense stationary processes (filtering, white noise, sampling, time averages, moving averages, autoregression). Renewal and regenerative processes, Markov chains, random walk and run, branching processes, Markov jump processes, uniformization, reversibility and queuing applications."
"ECE 503","Introduction to Numerical Electromagnetics","Introduction to numerical methods in electromagnetics including finite difference, finite element and integral equation methods for static, harmonic and time dependent fields; use of commercial software for analysis and design purposes; applications to open and shielded transmission lines, antennas, cavity resonances and scattering."
