"course_number","course_name","course_description"
"CLIMATE 551","Fluid Dynamics for Climate and Space Sciences","Covers the fundamentals of fluid dynamics. The purpose of the course is to provide fundamental grounding in fluid dynamics and in fundamental mathematical technique at the level required to do serious quantitative graduate research that involves fluid dynamics effects. The emphasis of the examples is on geophysical and space applications."
"CLIMATE 565","Planetary Science","Solar system formation; giant planets and origin of their atmospheres; biogeochemical evolution of terrestrial planet atmospheres; radiative transfer, internal energy and thermal structure; thermochemical cloud formation; radiative and charged particle energetic processes for neutrals and ions; origin of satellite atmospheres; extrasolar planets; life in the universe; planetary exploration."
"CLIMATE 567","Chemical Dynamics","A general course in chemical kinetics, useful for any branch of chemistry where reaction rates and mechanisms are important. Scope of subject matter: practical analysis of chemical reaction rates and mechanisms, theoretical concepts relating to gas and solution phase reactions."
"SPACE 571","Space Plasma Measurement Techniques","Identify, define, and practice the way to get from a science question to a set of measurements necessary to answer the question. Phases are: 1) highlight the relevant scientific themes, 2) practice with the simulation tools available, and 3) carry out 4 hardware experiments in the lab."
"SPACE 574","Introduction to Space Physics","A graduate level introduction to physical and aeronomical processes in the space environment. Discussion of theoretical tools, the Sun, solar wind, heliosphere, magnetosphere, ionosphere and the upper atmosphere. Spacecraft interaction with radiation, spacecraft-plasma interactions."
"SPACE 581","Space Policy and Management","The first part of the course will provide detailed information on how space policy is developed in the United States and the international space community and how these policies result in specific missions. The second part will provide detailed information on modern management techniques and processes. Project managers from NASA centers and industry will lecture on the detailed management techniques and processes."
"SPACE 582","Spacecraft Technology","Systematic and comprehensive review of spacecraft and space mission design and key technologies for space missions. Discussions on project management and the economic and political factors that affect space missions. Specific space mission designs are developed in teams. Students of AEROSP 483/583 choose their projects based on these designs. Projects are overseen/graded by faculty and may involve mentoring by representatives from external organizations."
"SPACE 583","Management of Space Systems Design","Students lead teams in high level project design of a space system. Modern methods of concurrent engineering manufacturing, marketing and finance, etc., are incorporated. Projects are overseen and graded by faculty and may also involve mentoring by representatives from industrial, governmental and/or non-profit organizations."
"SPACE 584","Space Mission Design and Implementation on a High-Altitude Balloon","This class teaches students how to design, build, test and deploy a completely autonomous, sophisticated system that is designed to accomplish a specific task. The primary system is a small-satellite, deployed on a high-altitude balloon. This system involves communication, position tracking, microcontrollers, instruments and a power system."
"CLIMATE 585","Inverse Methods for Remote Sensing","Introduction to active (radar and lidar) and passive (thermal emission) visible, infrared and microwave remote sensing. Fundamentals of electromagnetic emission, absorption and scattering. Sensor performance characteristics. Mathematical methods for inversion of integral transforms and ill-conditioned systems of equations commonly encountered in remote sensing applications."
"CLIMATE 586","Advanced Data Analysis Techniques","Objective methods are introduced for analyzing climate data with inherent spatial and/or temporal correlation scales. These include time series analysis, pattern recognition techniques, regression, and linear modeling. The emphases are both the usage of such methods and critical evaluation of literature that employ them."
"CLIMATE 587","Microwave Remote Sensing","Theory, systems and applications of active and passive microwave remote sensing; radiative transfer; blackbody radiation; microwave radiometry; atmospheric propagation and emission radiometer receivers; surface and volume scattering and emission; radar systems; resolution techniques; calibration; synthetic aperture radar; scatterometers; applications to meteorology, oceanography and hydrology."
"CLIMATE 588","Regional Scale Climate","Regional scale climate processes are introduced along with the tools needed for their analysis, including downscaling techniques. The course integrates lectures, assigned journal papers and hands-on data analysis. In a course project, students will apply the analytical tools to a subject chosen by the student."
"CLIMATE 589","The Art of Climate Modeling","The course introduces the newest climate modeling techniques by surveying the design decisions in atmospheric General Circulation Models (GCMs), the trends in GCM and dynamical core modeling and how GCMs are coupled. It is built upon hands-on GCM modeling and data projects, journal paper discussions, lectures, shared cyber-infrastructure and computational tools."
"SPACE 590","Space Systems Projects","Space science and application mission related team project. Student teams will participate in ongoing projects in the Space Physics Research Laboratory in conjunction with industry and government sponsors. Projects are overseen and graded by faculty and may also involve mentoring by representatives from industrial, governmental and/or non-profit organizations."
"CLIMATE 591","Climate Practicum I","Introduction to individual and team research on real-world problems in the area of applied climate. A mentor from a commercial or governmental laboratory will pose the problem and help to guide the research. Students will learn how to apply knowledge they have already acquired."
"CLIMATE 592","Climate Practicum II","Introduction to individual and team research on real-world problems in the area of applied climate. On a research project started in CLIMATE 591 and guided by a mentor from a commercial or government laboratory, students will apply the principles of risk analysis and objective assessment of adaptive strategies."
"SPACE 595","Magnetosphere and Solar Wind","General principles of magnetohydrodynamics; theory of the expanding atmosphere; properties of solar wind, interaction of solar wind with the magnetosphere of the Earth and other planets; bow shock and magnetotail, trapped particles, auroras."
"SPACE 596","Gaskinetic Theory","Maxwell-Boltzmann distribution, kinetic determination of equation of state, specific heats of gases. Dynamics of two-particle collisions. Elementary transport theory, molecular effusion, hydrodynamic transport coefficients, mean free path method. Advanced transport theory, the Boltzmann equation, collision terms, Champman-Enskog transport theory. Aerodynamics of free-molecular flow. Shock waves."
"SPACE 597","Fundamentals of Space Plasma Physics","Basic plasma concepts, Boltzmann equation, higher order moments equations, MHD equations, double adiabatic theory. Plasma expansion to vacuum, transonic flows, solar wind, polar wind. Collisionless shocks, propagating and planetary shocks. Fokker-Planck equation, quasilinear theory, velocity diffusion, cosmic ray transport, shock acceleration. Spacecraft charging, mass loading."
"SPACE 598","The Sun and the Heliosphere","A complete description of the physical processes that govern the behavior of the Sun and the heliosphere with emphasis on recent theoretical and observational results."
"CLIMATE 605","Current Topics in Climate and Space Sciences and Engineering","Advances in specific fields of climate and space sciences, as revealed by recent research."
"CLIMATE 690","Thesis/Master of Science","Provides credit for research and writing of a Masters Thesis under direction of a faculty member."
"CLIMATE 701","Special Problems in Climate and Space Sciences","Supervised analysis of selected problems in various areas of climate and space sciences."
"CLIMATE 746","CLaSP Graduate Professional Development","Introduction to professional skills which support graduate student success within the CLaSP Department. Topics include advisor relationships, student rights, personal finances, scientific communication, project definition and planning, attending conferences, reading journal articles, mentoring others, and code and data management."
"CLIMATE 747","Proposal Development","Students will learn to write and submit a successful proposal to a US funding agency, and to deliver a successful conference talk on their proposed research. The proposal topic will be chosen by the student. Proposals will be prepared for academically relevant programs."
"CLIMATE 748","Student Presentation","Students will develop the skills to deliver a successful talk and present their research. Each student will deliver two talks (one about the student research, the other is a critique of a scientific article) and one AGU-like poster presentation, with extended question/answer sessions."
"CLIMATE 749","CLaSP Seminar","Presentations from UM researchers and outside speakers about current research results, covering a broad range of topics in climate, atmosphere and space science. In this class students take turns serving as seminar chair. Questions from students will be handled before those from faculty. Conditions for credit are participation in this seminar and the completion of a short paper in which each student follows up on one talk given as part of this seminar series."
"CLIMATE 990","Dissertation/Pre-Candidate","Dissertation work by doctoral student not yet admitted to status as candidate. The defense of the dissertation, that is, the final oral examination, must be held under a full-term candidacy enrollment."
"SPACE 990","Dissertation/Pre-Candidate","Dissertation work by doctoral student not yet admitted to status as candidate. The defense of the dissertation, that is, the final oral examination, must be held under a full-term candidacy enrollment."
"CLIMATE 995","Dissertation/Candidate","Election for dissertation work by a doctoral student who has been admitted to candidate status. The defense of the dissertation, that is, the final oral examination, must be held under a full-term candidacy enrollment."
"SPACE 995","Dissertation/Candidate","Election for dissertation work by doctoral student who has been admitted to candidates status. The defense of the dissertation, that is, the final oral examination, must be held under a full-term candidacy enrollment."
